Unit No,Experiment No,Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,Wrong Answer 4
4,6,A common source of error leading to a calculated relative atomic mass of magnesium being too HIGH in this experiment could be:,Some of the weighed magnesium being magnesium oxide (which doesn't produce H2).,Losing some hydrogen gas during collection.,Using excess hydrochloric acid.,Measuring the volume of hydrogen gas at a temperature lower than actual.,Incomplete reaction of the magnesium.
4,6,"If the experiment yielded 'n' moles of H2 gas from 'm' grams of magnesium, the relative atomic mass of magnesium is calculated as:",m / n.,n / m.,m * n.,V_m / n.,(m * R * T) / (P * V_H2).
5,7,The enthalpy of neutralization is defined as the enthalpy change when:,One mole of water is formed from the reaction of an acid and a base.,One mole of acid is completely neutralized.,One mole of base is completely neutralized.,The temperature of the solution rises by 1°C.,One mole of salt is produced.
5,7,Acid-base neutralization reactions are generally:,Exothermic.,Endothermic.,Isothermic (no heat change).,Photochemical.,Reversible with no net heat input.
5,7,"In the calorimetric equation q = mcΔT, what does 'c' represent?",Specific heat capacity of the solution.,Molar heat capacity of the solute.,Heat capacity of the calorimeter.,Change in concentration.,A constant for all neutralization reactions.
5,7,"Why is the enthalpy of neutralization of a strong acid (e.g., HCl) with a strong base (e.g., NaOH) a nearly constant value?",The net ionic equation is always H+(aq) + OH-(aq) → H2O(l).,All strong acids have similar molar masses.,All strong bases are equally soluble.,The salts formed have similar lattice energies.,The spectator ions absorb the excess heat.
5,7,The enthalpy of neutralization of a weak acid (like CH3COOH) with a strong base (like NaOH) is generally less exothermic than that for a strong acid/strong base because:,Some energy is consumed to ionize the weak acid.,Weak acids react much slower.,The reaction does not go to completion.,Weak acids are more volatile.,The salt formed is less stable.
5,8,Hess's Law states that the total enthalpy change for a chemical reaction is:,Independent of the pathway taken between the initial and final states.,Dependent on the catalyst used.,Always equal to the sum of bond energies broken minus bond energies formed.,Only valid for reactions at standard conditions.,Proportional to the activation energy.
5,8,"To validate Hess's Law experimentally, one typically measures the enthalpy changes for:",A direct reaction pathway and an indirect multi-step pathway between the same reactants and products.,Two completely different reactions.,The same reaction at different concentrations.,A reaction and its reverse process.,Only endothermic reactions.
5,8,"If ΔH1 is the enthalpy change for A → C, ΔH2 for A → B, and ΔH3 for B → C, according to Hess's Law:",ΔH1 = ΔH2 + ΔH3.,ΔH1 = ΔH2 - ΔH3.,ΔH1 = ΔH3 - ΔH2.,ΔH1 = ΔH2 × ΔH3.,ΔH1 = (ΔH2 + ΔH3) / 2.
5,8,Enthalpy is a 'state function'. This means its value depends only on:,The initial and final states of the system.,The path taken to reach the state.,The rate of the reaction.,The specific heat capacity of the substances.,The volume of the container.
5,8,A common piece of apparatus used in experiments to validate Hess's Law by measuring heat changes is a:,Calorimeter.,Spectrophotometer.,Gas chromatograph.,pH meter.,Balance.
6,9,Which of the following s-block metals reacts most vigorously with cold water?,Potassium (K).,Magnesium (Mg).,Beryllium (Be).,Calcium (Ca).,Lithium (Li).
6,9,"When s-block metals (e.g., Na, Ca) react with dilute acids (e.g., HCl), a common gaseous product is:",Hydrogen (H2).,Oxygen (O2).,Chlorine (Cl2).,Carbon dioxide (CO2).,The metal vapor.
6,9,How does the reactivity of Group 1 (alkali) metals generally change on descending the group?,Increases.,Decreases.,Remains constant.,Increases then decreases.,Decreases then increases.
6,9,"When sodium metal is heated in excess air or oxygen, the primary product formed is:",Sodium peroxide (Na2O2).,Sodium oxide (Na2O).,Sodium superoxide (NaO2).,Sodium nitride (Na3N).,Sodium carbonate (Na2CO3).
6,9,"Compared to Group 1 (alkali) metals in the same period, Group 2 (alkaline earth) metals are generally:",Less reactive.,More reactive.,Equally reactive.,More electronegative.,Lighter in color.
6,10,What characteristic flame color is observed when a compound containing sodium ions is heated in a Bunsen burner flame?,Intense yellow / Orange-yellow.,Lilac / Pale purple.,Crimson red.,Brick red / Orange-red.,Apple green.
6,10,A lilac or pale purple flame color is indicative of the presence of which s-block metal ion?,Potassium (K+).,Sodium (Na+).,Calcium (Ca2+).,Strontium (Sr2+).,Barium (Ba2+).
6,10,The characteristic colors observed in flame tests are due to:,"Electrons transitioning from higher energy levels to lower energy levels, emitting photons.",The compound decomposing into its elements.,The metal ions vibrating rapidly in the flame.,Nuclear fusion reactions occurring.,The anions present in the compound.
6,10,Which element typically produces a brick-red or orange-red flame color?,Calcium (Ca).,Barium (Ba).,Lithium (Li).,Sodium (Na).,Potassium (K).
6,10,"Before conducting a flame test, why is the nichrome or platinum wire usually cleaned by dipping in concentrated HCl and heating until no color is imparted to the flame?",To remove any contaminating metal ions that could give a false positive color.,To sterilize the wire.,To make the wire more conductive.,To increase the temperature of the flame.,To pre-coat the wire with chloride ions.
